keys,en,es,fr
INTRO_01,"Ah, crap, I overslept again.","Ah, mierda, me dormí otra vez.","Ah merde, j’ai encore trop dormi."
INTRO_02,That party was something...,"Vaya fiesta me he pegado, menuda borrachera que llevo.",Cette fête était quelque chose…
INTRO_03,"And with this thing on? Jeez, I must be asking for trouble.","¿Y con esta cosa puesta? Cielos, debo estar buscando problemas.","Et en portant ce truc? Bon sang, je dois demander des ennuis."
INTRO_04,I should probably get this costume off.,Tengo que quitarme este disfraz.,Je devrais peut être enlever ce costume.
INTRO_05,Crap. The zipper's coming undone.,Mierda. La cremallera se está deshaciendo.,Merde.  La fermeture éclair s’enlève.
INTRO_06,I'm gonna have to grab my seam ripper from the office to fix it.,Voy a tener que coger mi abridor de costuras de la oficina para arreglarlo.,Je vais devoir récupérer mon découd-vite au bureau pour réparer ça.
INTRO_07,Let's hope this is a quick fix.,Esperemos que esto lo arregle…,J’espère pouvoir réparer ça rapidement…
T02_01,Uh... what?,"Eh, ¿qué?",Euh… quoi?
T02_02,I thought I had gotten out of here...,Pensaba que había logrado salir de aquí…,Je croyais que j’étais sorti de là…
T02_03,Maybe I'm just imagining things. Let's try this again.,Seguramente esté imaginándolo… Voy a intentarlo otra vez.,Peut-être que c’était dans mon imagination.  Essayons-ça encore.
T02_04,I... don't remember this being here...,No recuerdo que esto estuviese aquí…,J’ai pas souvenir que ç’ai été là…
T02_05,"Looks like the lever over there is connected to the door, too.",Parece ser que la palanca está conectada también a esa puerta de ahí.,On dirait que le levier là-bas est connecté à la porte aussi.
T02_06,Huh. Really weird.,"Mmm, muy raro.",Hum…très bizarre.
TIMER_INTRO_01,What. The. Hell?,¿Qué narices?,
TIMER_INTRO_02,I swear I was on my way to my home office!,¡Prometería que estaba de camino a la oficina!,Je vous jure que j’étais en train de rentrer au bureau!
TIMER_INTRO_03,Is this gonna keep repeating like a dream?,¿Se va a repetir esto como si fuera un sueño?,Est-ce que ça va continuer à se répéter comme un rêve?
TIMER_INTRO_04,"Oh, well. Better try to get through that door. It looks like it's connected to the alarm clock.","Bueno, será mejor que intente pasar por esa puerta. Parece que está conectada a el despertador.",Bon.  Vaut mieux essayer la porte là-bas.  On dirait qu’elle est connectée au réveil.
BLOCKED_BIRD_01,Crap! How am I supposed to get through here?,¡Mierda! ¿Cómo se supone que voy a pasar por aquí?,Merde! Comment est-ce que je suis censé me sortir d’ici?
BLOCKED_BIRD_02,This vanity is too heavy to move.,Este armario es demasiado pesado para moverlo.,Cette armoire est trop lourde à bouger.
BLOCKED_BIRD_03,Maybe I can get through that gap if I had a different costume on?,Tal vez pueda atravesar esa brecha si llevara un traje diferente…,Peut-être je peut traverser cette brèche si je portais un autre costume…
CARPET_INTRO_01,What kind of contraption is this?,¿Qué clase de artilugio es este?,C’est quoi cet engin?
CARPET_INTRO_02,"I swear, I never had this pressure-looking button in my room, let alone the rest of the house.","Estoy seguro de que nunca he tenido este botón de presión en mi habitación, y mucho menos en el resto de la casa.","Je vous jure, je n’ai jamais eu ce bouton pression dans ma chambre, encore moins dans le reste de la maison."
CARPET_INTRO_03,"Looks like I got to find something to 'weigh' it down, I suppose.","Parece que tengo que encontrar algo para ""pesarlo"", supongo.","On dirait que je dois trouver quelque chose pour « l’alourdir », je suppose."
CARPET_INTRO_04,Maybe I can try moving the dresser?,¿Tal vez pueda intentar mover la cómoda?,Peut-être je peut bouger cette commode?
ESCAPE_01,Ugh... why does this costume feel so much more hot and stuffy...?,Uf... ¿Por qué se siente este traje mucho más caluroso y sofocante?,Arf…pourquoi ce costume est-il tellement plus chaud et étouffant…?
ESCAPE_02,"Wh-what?! No, there's no way...","¡¿Qu-Qué?! No, es imposible.","Qu-Quoi?! Non, c’est impossible!"
ESCAPE_03,There's no way I'm wearing all three at once!,¡No hay manera de que lleve los tres a la vez!,Hors de question que je porte les trois en même temps!
ESCAPE_04,"I have to get these costumes off of me, fast!","Tengo que quitarme estos disfraces de encima, ¡rápido!",Il faut que j’enlève ces costumes vite!
ESCAPE_05,Please tell me I'm not gonna keep looping with this on...,"Por favor, dime que no voy a seguir en bucle con esto puesto...","S’il vous plaît, dites-moi que je ne vais pas devoir continuer en boucle avec ça sur moi…"
ESCAPE_06,"Oh, thank goodness. Finally!","Oh, menos mal. ¡Al fin!",Oh Dieu merci! Enfin!
ESCAPE_07,The seam ripper is over there in the vanity in the corner.,"El abridor de costuras está allí, en el tocador, en la esquina.",Mon découd-vite est dans la commode dans le coin.
ESCAPE_08,"The sooner I can get there, the sooner I can take this off...","Cuanto antes llegue, antes podré quitarme esto...","Le plus tôt je pourrai y arriver, le plus tôt je pourrai l’enlever…"
CUTSCN_END,Time to finally take this off...,"Al fin, llegó la hora de quitarse esto…",Il est temps de l’enlever enfin…
